metric,taxonomy,concept,priority,unit,period_type,description
revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,1,USD,duration,ASC 606 revenue excluding sales taxes collected
revenue,us-gaap,RevenueFromContractWithCustomerIncludingAssessedTax,2,USD,duration,ASC 606 revenue including assessed taxes
revenue,us-gaap,Revenues,3,USD,duration,Pre-ASC-606 total revenues
revenue,us-gaap,SalesRevenueNet,4,USD,duration,Legacy net sales tag retired after ASC 606
cost_of_revenue,us-gaap,CostOfRevenue,1,USD,duration,Total cost of revenue
cost_of_revenue,us-gaap,CostOfGoodsAndServicesSold,2,USD,duration,Cost of goods and services sold
gross_profit,us-gaap,GrossProfit,1,USD,duration,Revenue less cost of revenue
operating_income,us-gaap,OperatingIncomeLoss,1,USD,duration,Income from operations
net_income,us-gaap,NetIncomeLoss,1,USD,duration,Net income attributable to the parent
net_income,us-gaap,ProfitLoss,2,USD,duration,Net income including noncontrolling interests
rd_expense,us-gaap,ResearchAndDevelopmentExpense,1,USD,duration,Research and development expense
sgna_expense,us-gaap,SellingGeneralAndAdministrativeExpense,1,USD,duration,Selling general and administrative expense
interest_expense,us-gaap,InterestExpense,1,USD,duration,Interest expense
tax_expense,us-gaap,IncomeTaxExpenseBenefit,1,USD,duration,Income tax expense or benefit
total_assets,us-gaap,Assets,1,USD,instant,Total assets
total_liabilities,us-gaap,Liabilities,1,USD,instant,Total liabilities
stockholders_equity,us-gaap,StockholdersEquity,1,USD,instant,Equity attributable to the parent
stockholders_equity,us-gaap,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2,USD,instant,Total equity including NCI
cash,us-gaap,CashAndCashEquivalentsAtCarryingValue,1,USD,instant,Cash and cash equivalents
cash,us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2,USD,instant,Cash including restricted cash
inventory,us-gaap,InventoryNet,1,USD,instant,Net inventory
current_assets,us-gaap,AssetsCurrent,1,USD,instant,Total current assets
current_liabilities,us-gaap,LiabilitiesCurrent,1,USD,instant,Total current liabilities
long_term_debt,us-gaap,LongTermDebtNoncurrent,1,USD,instant,Long-term debt excluding current portion
long_term_debt,us-gaap,LongTermDebt,2,USD,instant,Total long-term debt
operating_cash_flow,us-gaap,NetCashProvidedByUsedInOperatingActivities,1,USD,duration,Cash generated by operations
operating_cash_flow,us-gaap,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,2,USD,duration,Operating cash flow from continuing operations
investing_cash_flow,us-gaap,NetCashProvidedByUsedInInvestingActivities,1,USD,duration,Cash used in investing
financing_cash_flow,us-gaap,NetCashProvidedByUsedInFinancingActivities,1,USD,duration,Cash used in financing
capex,us-gaap,PaymentsToAcquirePropertyPlantAndEquipment,1,USD,duration,Purchases of property plant and equipment
dividends_paid,us-gaap,PaymentsOfDividendsCommonStock,1,USD,duration,Dividends paid on common stock
buybacks,us-gaap,PaymentsForRepurchaseOfCommonStock,1,USD,duration,Common stock repurchased
shares_diluted,us-gaap,WeightedAverageNumberOfDilutedSharesOutstanding,1,shares,duration,Weighted average diluted shares
shares_basic,us-gaap,WeightedAverageNumberOfSharesOutstandingBasic,1,shares,duration,Weighted average basic shares
eps_diluted,us-gaap,EarningsPerShareDiluted,1,USD/shares,duration,Diluted earnings per share
eps_basic,us-gaap,EarningsPerShareBasic,1,USD/shares,duration,Basic earnings per share
employees,dei,EntityNumberOfEmployees,1,pure,instant,Reported employee headcount
